path,owner_surface,file_class,status,checks,evidence_pointer,notes
skills/aads-bug-evidence-auditor/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-bug-evidence-auditor/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-bug-evidence-auditor/references/evidence-protocol.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-coder/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-coder/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-coder/references/coding-playbook.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-colab-doc-sync/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-colab-doc-sync/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-colab-doc-sync/references/colab-doc-sync-checklist.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-config-pipeline-guardrails/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-config-pipeline-guardrails/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-config-pipeline-guardrails/references/config-pipeline-checklist.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-orchestrator/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-orchestrator/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-orchestrator/references/orchestration-matrix.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-router-ood-guardrails/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-router-ood-guardrails/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-router-ood-guardrails/references/router-guardrails.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-status-triage/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-status-triage/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-status-triage/references/status-checklist.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-training-lifecycle/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-training-lifecycle/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-training-lifecycle/references/training-invariants.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
specs/adapter-spec.json,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
specs/pipeline-spec.json,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
specs/router-spec.json,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
src/__init__.py,tests/ci/meta,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/adapter/__init__.py,adapter,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/adapter/independent_crop_adapter.py,adapter,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/adapter/multi_scale_fusion.py,adapter,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/core/__init__.py,core/config,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/core/artifact_manifest.py,core/config,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/core/colab_contract.py,core/config,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/core/config_manager.py,core/config,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/core/configuration_validator.py,core/config,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/core/model_registry.py,core/config,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/core/pipeline_manager.py,core/config,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
